Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086071,1893,07,12.6,Y
IDCJAC0002,086071,1893,08,14.8,Y
IDCJAC0002,086071,1893,09,16.8,Y
IDCJAC0002,086071,1893,10,19.5,Y
IDCJAC0002,086071,1893,11,20.3,Y
IDCJAC0002,086071,1893,12,23.7,Y
IDCJAC0002,086071,1894,01,26.8,Y
IDCJAC0002,086071,1894,02,25.3,Y
IDCJAC0002,086071,1894,03,24.2,Y
IDCJAC0002,086071,1894,04,20.0,Y
IDCJAC0002,086071,1894,05,15.6,Y
IDCJAC0002,086071,1894,06,14.2,Y
IDCJAC0002,086071,1894,07,12.1,Y
IDCJAC0002,086071,1894,08,14.5,Y
IDCJAC0002,086071,1894,09,15.8,Y
IDCJAC0002,086071,1894,10,21.1,Y
IDCJAC0002,086071,1894,11,23.1,Y
IDCJAC0002,086071,1894,12,23.9,Y
IDCJAC0002,086071,1895,01,25.0,Y
IDCJAC0002,086071,1895,02,28.0,Y
IDCJAC0002,086071,1895,03,23.0,Y
IDCJAC0002,086071,1895,04,21.1,Y
IDCJAC0002,086071,1895,05,15.4,Y
IDCJAC0002,086071,1895,06,14.2,Y
IDCJAC0002,086071,1895,07,12.6,Y
IDCJAC0002,086071,1895,08,15.8,Y
IDCJAC0002,086071,1895,09,17.2,Y
IDCJAC0002,086071,1895,10,21.7,Y
IDCJAC0002,086071,1895,11,22.0,Y
IDCJAC0002,086071,1895,12,25.4,Y
IDCJAC0002,086071,1896,01,26.7,Y
IDCJAC0002,086071,1896,02,23.9,Y
IDCJAC0002,086071,1896,03,22.0,Y
IDCJAC0002,086071,1896,04,19.8,Y
IDCJAC0002,086071,1896,05,15.5,Y
IDCJAC0002,086071,1896,06,13.4,Y
IDCJAC0002,086071,1896,07,12.2,Y
IDCJAC0002,086071,1896,08,13.6,Y
IDCJAC0002,086071,1896,09,16.3,Y
IDCJAC0002,086071,1896,10,20.2,Y
IDCJAC0002,086071,1896,11,23.6,Y
IDCJAC0002,086071,1896,12,25.7,Y
IDCJAC0002,086071,1897,01,23.3,Y
IDCJAC0002,086071,1897,02,23.5,Y
IDCJAC0002,086071,1897,03,21.0,Y
IDCJAC0002,086071,1897,04,20.2,Y
IDCJAC0002,086071,1897,05,15.8,Y
IDCJAC0002,086071,1897,06,15.1,Y
IDCJAC0002,086071,1897,07,13.9,Y
IDCJAC0002,086071,1897,08,13.5,Y
IDCJAC0002,086071,1897,09,17.9,Y
IDCJAC0002,086071,1897,10,18.5,Y
IDCJAC0002,086071,1897,11,23.8,Y
IDCJAC0002,086071,1897,12,26.8,Y
IDCJAC0002,086071,1898,01,27.9,Y
IDCJAC0002,086071,1898,02,30.2,Y
IDCJAC0002,086071,1898,03,24.1,Y
IDCJAC0002,086071,1898,04,19.6,Y
IDCJAC0002,086071,1898,05,15.5,Y
IDCJAC0002,086071,1898,06,13.8,Y
IDCJAC0002,086071,1898,07,13.1,Y
IDCJAC0002,086071,1898,08,15.6,Y
IDCJAC0002,086071,1898,09,16.9,Y
IDCJAC0002,086071,1898,10,21.4,Y
IDCJAC0002,086071,1898,11,22.5,Y
IDCJAC0002,086071,1898,12,26.0,Y
IDCJAC0002,086071,1899,01,22.7,Y
IDCJAC0002,086071,1899,02,28.0,Y
IDCJAC0002,086071,1899,03,25.7,Y
IDCJAC0002,086071,1899,04,20.5,Y
IDCJAC0002,086071,1899,05,15.4,Y
IDCJAC0002,086071,1899,06,13.3,Y
IDCJAC0002,086071,1899,07,13.0,Y
IDCJAC0002,086071,1899,08,14.7,Y
IDCJAC0002,086071,1899,09,17.8,Y
IDCJAC0002,086071,1899,10,18.0,Y
IDCJAC0002,086071,1899,11,21.5,Y
IDCJAC0002,086071,1899,12,26.4,Y
IDCJAC0002,086071,1900,01,27.6,Y
IDCJAC0002,086071,1900,02,26.1,Y
IDCJAC0002,086071,1900,03,22.5,Y
IDCJAC0002,086071,1900,04,17.1,Y
IDCJAC0002,086071,1900,05,15.2,Y
IDCJAC0002,086071,1900,06,14.1,Y
IDCJAC0002,086071,1900,07,12.6,Y
IDCJAC0002,086071,1900,08,13.5,Y
IDCJAC0002,086071,1900,09,15.4,Y
IDCJAC0002,086071,1900,10,19.1,Y
IDCJAC0002,086071,1900,11,20.9,Y
IDCJAC0002,086071,1900,12,25.1,Y
IDCJAC0002,086071,1901,01,24.2,Y
IDCJAC0002,086071,1901,02,27.0,Y
IDCJAC0002,086071,1901,03,24.1,Y
IDCJAC0002,086071,1901,04,19.1,Y
IDCJAC0002,086071,1901,05,17.0,Y
IDCJAC0002,086071,1901,06,11.9,Y
IDCJAC0002,086071,1901,07,11.2,Y
IDCJAC0002,086071,1901,08,13.7,Y
IDCJAC0002,086071,1901,09,17.6,Y
IDCJAC0002,086071,1901,10,18.7,Y
IDCJAC0002,086071,1901,11,24.5,Y
IDCJAC0002,086071,1901,12,24.6,Y
IDCJAC0002,086071,1902,01,25.4,Y
IDCJAC0002,086071,1902,02,23.7,Y
IDCJAC0002,086071,1902,03,21.6,Y
IDCJAC0002,086071,1902,04,19.9,Y
IDCJAC0002,086071,1902,05,16.7,Y
IDCJAC0002,086071,1902,06,13.4,Y
IDCJAC0002,086071,1902,07,13.8,Y
IDCJAC0002,086071,1902,08,13.4,Y
IDCJAC0002,086071,1902,09,16.7,Y
IDCJAC0002,086071,1902,10,19.4,Y
IDCJAC0002,086071,1902,11,24.8,Y
IDCJAC0002,086071,1902,12,24.1,Y
IDCJAC0002,086071,1903,01,25.2,Y
IDCJAC0002,086071,1903,02,24.6,Y
