Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086071,1900,04,126.4,Y
IDCJAC0001,086071,1900,05,97.5,Y
IDCJAC0001,086071,1900,06,44.7,Y
IDCJAC0001,086071,1900,07,27.2,Y
IDCJAC0001,086071,1900,08,59.5,Y
IDCJAC0001,086071,1900,09,74.0,Y
IDCJAC0001,086071,1900,10,32.8,Y
IDCJAC0001,086071,1900,11,26.5,Y
IDCJAC0001,086071,1900,12,30.1,Y
IDCJAC0001,086071,1901,01,76.5,Y
IDCJAC0001,086071,1901,02,16.3,Y
IDCJAC0001,086071,1901,03,79.7,Y
IDCJAC0001,086071,1901,04,170.6,Y
IDCJAC0001,086071,1901,05,11.5,Y
IDCJAC0001,086071,1901,06,50.7,Y
IDCJAC0001,086071,1901,07,32.1,Y
IDCJAC0001,086071,1901,08,48.0,Y
IDCJAC0001,086071,1901,09,37.5,Y
IDCJAC0001,086071,1901,10,109.6,Y
IDCJAC0001,086071,1901,11,48.5,Y
IDCJAC0001,086071,1901,12,17.3,Y
IDCJAC0001,086071,1902,01,38.9,Y
IDCJAC0001,086071,1902,02,24.3,Y
IDCJAC0001,086071,1902,03,138.3,Y
IDCJAC0001,086071,1902,04,14.7,Y
IDCJAC0001,086071,1902,05,26.7,Y
IDCJAC0001,086071,1902,06,68.8,Y
IDCJAC0001,086071,1902,07,14.9,Y
IDCJAC0001,086071,1902,08,22.6,Y
IDCJAC0001,086071,1902,09,84.3,Y
IDCJAC0001,086071,1902,10,19.7,Y
IDCJAC0001,086071,1902,11,25.0,Y
IDCJAC0001,086071,1902,12,110.4,Y
IDCJAC0001,086071,1903,01,24.0,Y
IDCJAC0001,086071,1903,02,34.5,Y
IDCJAC0001,086071,1903,03,74.5,Y
